"col.name" "col.class" "unique" "required" "multiplevalues" "description" "allowedvalues" "static.enum" "dynamic.enum" "dynamic.enum.property" "delimiter" "separator" "corpus.type"
"treatment_dose" "numeric" "non-unique" "optional" TRUE "A quantity of an agent (such as substance or energy) administered, taken, or absorbed at one time. Individual dose amount" NA NA NA NA "<;>" NA NA
"treatment_duration" "numeric" "non-unique" "optional" TRUE "The length of time a treatment session lasts. A session is defined as the period of time between when the patient enters the treatment room and when they leave it. Overall duration of treatment" NA NA NA NA "<;>" NA NA
"treatment_end" "character" "non-unique" "optional" TRUE "Treatment end date/time" NA NA NA NA "<;>" NA NA
"treatment_frequency" "character" "non-unique" "optional" TRUE "The number of times a substance is administered within a specific time period. Frequency of treatment administration" NA NA NA NA "<;>" NA NA
"treatment_group" "character" "non-unique" "optional" TRUE "A study population that receives an intervention(s) within a trial. This could include the investigational product(s) or a comparator (e.g., placebo or an approved intervention)." NA NA NA NA "<;>" NA NA
"treatment_name" "character" "non-unique" "optional" TRUE "The literal identifier of a therapy. Specific name of drug/medication/treatment/surgical procedure" NA NA NA NA "<;>" NA NA
"treatment_notes" "character" "non-unique" "optional" TRUE "miscellaneous treatment information that does not fit into the other categories" NA NA NA NA "<;>" NA NA
"treatment_number" "numeric" "non-unique" "optional" TRUE "number of times individual treatment was administered; can be number of doses/cycles/lines" NA NA NA NA "<;>" NA NA
"treatment_reason" "character" "non-unique" "optional" TRUE "stated purpose/goal of treatment; can be a specific treatment phase" NA NA NA NA "<;>" NA NA
"treatment_start" "character" "non-unique" "optional" TRUE "Treatment start date/time" NA NA NA NA "<;>" NA NA
"treatment_status" "character" "non-unique" "optional" TRUE "Information on treatment modifications or scheduling with respect to other treatments" NA NA NA NA "<;>" NA NA
"treatment_type" "character" "non-unique" "optional" TRUE "Broad treatment category" NA NA NA NA "<;>" NA NA
"tumor_staging_ajcc" "character" "non-unique" "optional" FALSE "American Joint Committee on Cancer (tumor staging) (SNOMED:258236004). A system to describe the amount and spread of cancer in a patient's body" "0|I|II|III|IV|III/IV" NA NA NA NA NA "static_enum"
"tumor_staging_tnm" "character" "non-unique" "optional" FALSE "Tumor-node-metastasis (TNM) tumor staging system (tumor staging) (SNOMED:254293002).A system to describe the amount and spread of cancer in a patient's body" "T[X1-4]N[X0-3]M[X0-1]|pTis|Tis" NA NA NA NA NA "regexp"
"vital_status" "character" "non-unique" "optional" FALSE "Indicates whether a person is alive or deceased at a specific point in time." "Dead;Alive;Unknown" NA NA NA NA NA NA
