field_name,source,is_numeric_field
sampleId,sample number,
sampleId,id sample,
sex,sex,
sex,gender,
sex,biological sex,
sex,patient sex,
sex,sex assigned at birth,
sex,sexes,
smoker,smoker,
smoker,smoking status,
smoker,smoker status,
smoker,tobacco use,
smoker,smoking history,
specimen_type,specimen type,
specimen_type,type specimen,
specimen_type,sample type,
specimen_type,tissue type,
specimen_type,specimen_type_type,
specimen_type,specimen types,
specimen_type,material type,
study_design,study design,
study_design,design study,
study_design,research design,
study_design,study type,
study_design,design type,
studyId,study id,
studyId,study identifier,
studyId,study code,
studyId,study number,
studyId,id study,
target_condition,target condition,
target_condition,condition target,
target_condition,condition,
target_condition,primary condition,
target_condition,disease target,
target_condition,condition name,
treatment_dose,treatment dose,yes
treatment_dose,dose treatment,yes
treatment_dose,dose,yes
treatment_dose,dosage,yes
treatment_dose,medication dose,yes
treatment_duration,treatment duration,yes
treatment_duration,duration treatment,yes
treatment_duration,treatment length,yes
treatment_duration,duration,yes
treatment_duration,treatment period,yes
treatment_duration,treatment duration days,yes
treatment_end,treatment end,
treatment_end,end treatment,
treatment_end,treatment end date,
treatment_end,end date,
treatment_end,treatment stop date,
treatment_end,date end treatment,
treatment_frequency,treatment frequency,
treatment_frequency,frequency treatment,
treatment_frequency,frequency,
treatment_frequency,treatment schedule,
treatment_frequency,dosing frequency,
treatment_group,treatment group,
treatment_group,group treatment,
treatment_group,treatment arm,
treatment_group,arm,
treatment_group,cohort,
treatment_group,treatment cohort,
treatment_name,treatment name,
treatment_name,name treatment,
treatment_name,therapy name,
treatment_name,drug name,
treatment_name,medication name,
treatment_notes,treatment notes,
treatment_notes,notes treatment,
treatment_notes,treatment comments,
treatment_notes,treatment remarks,
treatment_notes,notes,
treatment_notes,treatment description,
treatment_number,treatment number,yes
treatment_number,number treatment,yes
treatment_number,treatment count,yes
treatment_number,treatment sequence,yes
treatment_number,therapy number,yes
treatment_reason,treatment reason,
treatment_reason,reason treatment,
treatment_reason,indication,
treatment_reason,clinical indication,
treatment_reason,reason,
treatment_reason,rationale,
treatment_start,treatment start,
treatment_start,start treatment,
treatment_start,treatment start date,
treatment_start,start date,
treatment_start,treatment begin date,
treatment_start,date start treatment,
treatment_status,treatment status,
treatment_status,status treatment,
treatment_status,therapy status,
treatment_status,treatment outcome,
treatment_status,response,
treatment_type,treatment type,
treatment_type,type treatment,
treatment_type,therapy type,
treatment_type,treatment category,
treatment_type,modality,
treatment_type,treatment modality,
tumor_staging_ajcc,tumor staging ajcc,
tumor_staging_ajcc,ajcc tumor staging,
tumor_staging_ajcc,ajcc staging,
tumor_staging_ajcc,ajcc stage,
tumor_staging_ajcc,ajcc,
tumor_staging_ajcc,tumor stage ajcc,
tumor_staging_tnm,tumor staging tnm,
tumor_staging_tnm,tnm tumor staging,
tumor_staging_tnm,tnm staging,
tumor_staging_tnm,tnm stage,
tumor_staging_tnm,tnm,
tumor_staging_tnm,tumor stage tnm,
vital_status,vital status,
vital_status,status vital,
vital_status,survival status,
vital_status,patient status,
vital_status,alive status,
vital_status,deceased status,
age_at_death,AGE_DTH,yes
age_at_death,AGE_AT_DTH,yes
age_at_death,DTH_AGE,yes
age_at_death,AGE_D_YRS,yes
age_at_diagnosis,DX_AGE,yes
age_at_diagnosis,DIAG_AGE,yes
age_at_diagnosis,AGE_DIAG_YRS,yes
age_at_metastasis,AGE_MET,yes
age_at_metastasis,MET_AGE,yes
age_at_metastasis,AGE_METS_YRS,yes
age_at_procurement,AGE_PROC,yes
age_at_procurement,AGE_COLL,yes
age_at_procurement,PROC_AGE,yes
age_at_procurement,AGE_SAMP_YRS,yes
age_group,AGE_GRP,
age_group,AGE_CAT,
age_group,AGE_STRAT,
ancestry,ANCESTR,
ancestry,ETHNIC_ORIG,
ancestry_details,ANCESTRY_DETAIL,
ancestry_details,ANCESTR_DESC,
ancestry_details,ETHNIC_BACKGROUND,
body_site,TUMOR_LOC,
body_site,PRIMARY_LOC,
body_site,ANATOMIC_LOC,
body_site,BIOPSY_LOC,
body_site,LESION_LOC,
cancer_type,CA_TYPE,
cancer_type,CANCER_TYP,
cancer_type,DXCA_TYPE,
cancer_type,PRIMARY_CA,
cancer_type,MALIG_TYP,
cancer_type_detailed,CA_TYPE_DETAIL,
cancer_type_detailed,CANCER_SUBT,
cancer_type_detailed,DX_SUBT,
cancer_type_detailed,HISTOLOGY_DETAIL,
country,CTRY,
curation_id,CUR_ID,
curation_id,QC_ID,
disease_metastasic_site,MET_SITE,
disease_metastasic_site,METS_LOC,
disease_metastasic_site,METS_ANATOMIC,
disease_metastasis,MET_STATUS,
disease_metastasis,METS_STAT,
disease_metastasis,METASTATIC_DIS,
disease_type,DIS_TYPE,
disease_type,DISEASE_TYP,
disease_type,DX_TYP,
disease_type,CLINICAL_DIS,
histological_subtype,HISTOL_SUBT,
histological_subtype,HISTO_TYP,
histological_subtype,GRADE_SUBT,
histological_subtype,PATHOLOGY_SUBT,
location,TUMOR_LOC,
location,PRIM_LOC,
location,LESION_LOC,
location,ANATOMIC_LOC,
molecular_subtype,MOL_SUBT,
molecular_subtype,MOLEC_SUBT,
molecular_subtype,GENOMIC_SUBT,
molecular_subtype,GENE_SUBT,
oncotree_code,ONC_CODE,
patientId,PAT_ID,
patientId,SUBJ_ID,
patientId,PT_NUM,
patientId,PAT_NUM,
sample_count,SAMP_CNT,yes
sample_count,SAMP_NUM,yes
sample_count,N_SAMP,yes
sample_count,SAMP_N,yes
sample_type,SAMP_TYP,
sample_type,SPECIMEN_CAT,
sample_type,TISSUE_TYP,
sample_type,BIOMAT_TYP,
sampleId,SAMP_ID,
sampleId,SPEC_ID,
sampleId,SPCMN_ID,
smoker,SMOKING_STAT,
smoker,SMOKE_HIST,
smoker,SMK_HX,
specimen_type,SPEC_TYP,
specimen_type,SPCMN_TYP,
specimen_type,TISSUE_CAT,
specimen_type,BIOMAT_CAT,
study_design,STD_DESIGN,
study_design,TRIAL_DESIGN,
studyId,STD_ID,
target_condition,TARG_COND,
target_condition,INDICATION,
target_condition,PRIMARY_COND,
treatment_dose,TX_DOSE,yes
treatment_dose,DOSE_AMT,yes
treatment_dose,DOS_MG,yes
treatment_dose,CHEMO_DOSE,yes
treatment_duration,TX_DUR,yes
treatment_duration,TRT_DUR,yes
treatment_duration,TREATMENT_D,yes
treatment_duration,THERAP_DUR_D,yes
treatment_end,TX_END,
treatment_end,TX_END_DT,
treatment_end,TRT_END_DATE,
treatment_frequency,TX_FREQ,
treatment_frequency,DOSE_FREQ,
treatment_frequency,CHEMO_FREQ,
treatment_frequency,ADMIN_FREQ,
treatment_group,TX_GROUP,
treatment_group,TRT_ARM,
treatment_group,STUDY_ARM,
treatment_name,TX_REG,
treatment_name,TRT_AGENT,
treatment_name,CHEMO_REG,
treatment_name,IO_DRUG,
treatment_notes,TX_NOTES,
treatment_notes,TRT_COMMENT,
treatment_notes,THERAP_NOTE,
treatment_number,TX_NUM,yes
treatment_number,TRT_NUM,yes
treatment_number,CHEMO_NUM,yes
treatment_number,N_TX,yes
treatment_reason,TX_REASON,
treatment_reason,TRT_INDICATION,
treatment_start,TX_START,
treatment_start,TX_START_DT,
treatment_start,TRT_START_DATE,
treatment_status,TX_STAT,
treatment_status,TRT_STAT,
treatment_status,THERAP_STAT,
treatment_status,TX_COMPLETE,
treatment_type,TX_TYPE,
treatment_type,TRT_TYPE,
treatment_type,CHEMO_TX,
treatment_type,IO_TX,
treatment_type,XRT_TX,
tumor_staging_ajcc,TNM_STAGE,
tumor_staging_ajcc,STAGING_AJCC,
tumor_staging_tnm,T_STAGE,
tumor_staging_tnm,N_STAGE,
tumor_staging_tnm,M_STAGE,
vital_status,VITAL_STAT,
vital_status,OS_STATUS,
vital_status,DFS_STATUS,
vital_status,PFS_STATUS,
vital_status,DSS_STATUS,
age_group,AGE_GROUP_18_40,
age_group,AGE_GROUP_40_60,
age_group,AGE_GROUP_60_PLUS,
ancestry,HISPANIC_ETHNICITY,
ancestry,AFRICAN_AMERICAN_ANCESTRY,
ancestry,CAUCASIAN_ANCESTRY,
ancestry,ASIAN_ANCESTRY,
ancestry,NATIVE_AMERICAN_ANCESTRY,
ancestry_details,HISPANIC_MEXICAN,
ancestry_details,HISPANIC_PUERTO_RICAN,
ancestry_details,AFRICAN_AMERICAN_US_BORN,
ancestry_details,AFRICAN_AMERICAN_CARIBBEAN,
ancestry_details,ASIAN_EAST_ASIAN,
ancestry_details,ASIAN_SOUTH_ASIAN,
ancestry_details,CAUCASIAN_EUROPEAN,
body_site,DIAGNOSIS_CANCER_LOC_BRAIN,
body_site,DIAGNOSIS_CANCER_LOC_LUNG,
body_site,DIAGNOSIS_CANCER_LOC_LIVER,
body_site,DIAGNOSIS_CANCER_LOC_BONE,
body_site,DIAGNOSIS_CANCER_LOC_SKIN,
body_site,DIAGNOSIS_CANCER_LOC_LYMPH_NODE,
body_site,DIAGNOSIS_CANCER_LOC_OVARY,
body_site,DIAGNOSIS_CANCER_LOC_BREAST,
body_site,DIAGNOSIS_CANCER_LOC_COLON,
body_site,DIAGNOSIS_CANCER_LOC_KIDNEY,
body_site,DIAGNOSIS_CANCER_LOC_PANCREAS,
body_site,METS_BRAIN,
body_site,METS_LUNG,
body_site,METS_LIVER,
body_site,METS_BONE,
body_site,TUMOR_LOC_PRIMARY_SITE,
body_site,ANYTIME_CANCER_LOC_PLEURA,
disease_metastasic_site,METASTASIS_BRAIN,
disease_metastasic_site,METASTASIS_LUNG,
disease_metastasic_site,METASTASIS_LIVER,
disease_metastasic_site,METASTASIS_BONE,
disease_metastasic_site,METASTASIS_LYMPH_NODE,
disease_metastasic_site,METASTASIS_PERITONEAL,
disease_metastasis,EXTRANODAL_DISEASE,
disease_metastasis,DISTANT_METASTASIS_INDICATOR,
disease_metastasis,VISCERAL_METASTASIS,
disease_type,FATTY_LIVER_DISEASE,
disease_type,CNS_DISEASE,
disease_type,DIABETES_DIAGNOSIS_INDICATOR,
disease_type,HYPERTENSION_DIAGNOSIS,
disease_type,CARDIOVASCULAR_DISEASE,
disease_type,CHRONIC_KIDNEY_DISEASE,
disease_type,PULMONARY_DISEASE,
histological_subtype,ADENOCARCINOMA_SUBTYPE,
histological_subtype,SQUAMOUS_CELL_SUBTYPE,
histological_subtype,SMALL_CELL_SUBTYPE,
histological_subtype,LARGE_CELL_SUBTYPE,
histological_subtype,NEUROENDOCRINE_SUBTYPE,
molecular_subtype,PAM50_LUMINAL_A,
molecular_subtype,PAM50_LUMINAL_B,
molecular_subtype,PAM50_HER2_ENRICHED,
molecular_subtype,PAM50_BASAL_LIKE,
molecular_subtype,CLAUDIN_LOW_SUBTYPE,
molecular_subtype,IHC_HR_POSITIVE,
molecular_subtype,IHC_HER2_POSITIVE,
molecular_subtype,IHC_TRIPLE_NEGATIVE,
molecular_subtype,MSIMSS_STATUS_MSI_H,
molecular_subtype,MSIMSS_STATUS_MSS,
molecular_subtype,TMB_HIGH_INDICATOR,
sex,INCIDENTAL_PROSTATE_CANCER,
sex,CERVIX_BIOPSY_POSITIVE,
sex,OVARIAN_STATUS_INTACT,
smoker,CURRENT_SMOKER,
smoker,FORMER_SMOKER,
smoker,NEVER_SMOKER,
treatment_name,CARBOPLATIN_RECEIVED,
treatment_name,CISPLATIN_RECEIVED,
treatment_name,PEMBROLIZUMAB_RECEIVED,
treatment_name,NIVOLUMAB_RECEIVED,
treatment_name,TRASTUZUMAB_RECEIVED,
treatment_name,CAPECITABINE_RECEIVED,
treatment_name,PACLITAXEL_RECEIVED,
treatment_name,DOXORUBICIN_RECEIVED,
treatment_name,FOLFOX_REGIMEN,
treatment_name,BEVACIZUMAB_RECEIVED,
treatment_type,RADIATION_THERAPY_RECEIVED,
treatment_type,IMMUNOTHERAPY_RECEIVED,
treatment_type,CHEMOTHERAPY_RECEIVED,
treatment_type,TARGETED_THERAPY_RECEIVED,
treatment_type,HORMONE_THERAPY_RECEIVED,
treatment_type,ADJUVANT_CHEMO,
treatment_type,NEOADJUVANT_CHEMOTHERAPY,
treatment_type,ADJUVANT_RADIATION_THERAPY,
treatment_type,ADC_THERAPY_RECEIVED,
treatment_type,HAD_SURGERY,
treatment_type,ENDOCRINE_THERAPY_RECEIVED,
vital_status,LOST_TO_FOLLOWUP_STATUS,
age_at_death,AGE_AT_LAST_CONTACT,yes
age_at_death,AGE_AT_DEATH_YEARS,yes
age_at_diagnosis,INITIAL_DIAGNOSIS_AGE,yes
age_at_diagnosis,AGE_AT_CANCER_DIAGNOSIS,yes
age_at_diagnosis,BASELINE_AGE,yes
age_at_metastasis,AGE_AT_MET_DIAGNOSIS,yes
age_at_metastasis,AGE_WHEN_MET_DETECTED,yes
age_at_procurement,AGE_AT_COLLECTION,yes
age_at_procurement,PATIENT_AGE_AT_SAMPLE,yes
age_group,AGE_BRACKET,
ancestry,REPORTED_ANCESTRY,
ancestry_details,ANCESTRY_DETAIL_DESC,
body_site,SITE_OF_DISEASE,
cancer_type,PRIMARY_CANCER_TYPE,
cancer_type_detailed,CANCER_TYPE_SPECIFIC,
country,COUNTRY_OF_RESIDENCE,
disease_metastasic_site,METASTASIS_LOCATION,
disease_metastasis,METASTASIS_STATUS,
disease_metastasis,HAS_METASTASIS,
disease_metastasis,PRIOR_METASTASIS,
disease_type,PRIMARY_DISEASE_TYPE,
histological_subtype,HIST_SUBTYPE,
location,SAMPLE_LOCATION,
molecular_subtype,MOL_SUBTYPE,
patientId,SUBJECT_ID,
sample_type,SPECIMEN_TYPE_CATEGORY,
sample_type,SAMPLE_CATEGORY,
sampleId,ALIQUOT_ID,
smoker,PRIOR_SMOKING_STATUS,
smoker,HISTORY_OF_SMOKING,
specimen_type,SAMPLE_SPECIMEN_TYPE,
target_condition,CONDITION_OF_INTEREST,
treatment_dose,CHEMOTHERAPY_DOSE,yes
treatment_dose,FIRST_LINE_DOSE,yes
treatment_dose,DOSE_RECEIVED,yes
treatment_dose,ADJUVANT_TREATMENT_DOSE,yes
treatment_dose,NEOADJUVANT_DOSE,yes
treatment_dose,SALVAGE_THERAPY_DOSE,yes
treatment_duration,THERAPY_DURATION,yes
treatment_duration,FIRST_LINE_DURATION,yes
treatment_duration,CHEMOTHERAPY_DURATION,yes
treatment_duration,ADJUVANT_TREATMENT_DURATION,yes
treatment_end,THERAPY_END_DATE,
treatment_end,FIRST_LINE_END,
treatment_end,CHEMOTHERAPY_END_DATE,
treatment_frequency,THERAPY_FREQUENCY,
treatment_frequency,DOSE_FREQUENCY,
treatment_frequency,CHEMOTHERAPY_FREQUENCY,
treatment_group,FIRST_LINE_TREATMENT_GROUP,
treatment_group,FIRSTLINE_CHEMO_GROUP,
treatment_group,ADJUVANT_TREATMENT_GROUP,
treatment_group,NEOADJUVANT_TREATMENT_GROUP,
treatment_group,1L_TREATMENT_GROUP,
treatment_group,2L_TREATMENT_GROUP,
treatment_group,3L_TREATMENT_GROUP,
treatment_name,CHEMOTHERAPY_REGIMEN,
treatment_name,FIRST_LINE_REGIMEN,
treatment_name,ADJUVANT_THERAPY_NAME,
treatment_name,NEOADJUVANT_THERAPY_NAME,
treatment_notes,THERAPY_NOTES,
treatment_number,LINE_OF_THERAPY,yes
treatment_number,FIRST_LINE,yes
treatment_number,SECOND_LINE,yes
treatment_number,THIRD_LINE,yes
treatment_number,FOURTH_LINE,yes
treatment_number,1L_INDICATOR,yes
treatment_number,2L_INDICATOR,yes
treatment_reason,INDICATION_FOR_THERAPY,
treatment_reason,THERAPY_INDICATION,
treatment_reason,REASON_FOR_TREATMENT,
treatment_start,THERAPY_START_DATE,
treatment_start,FIRST_LINE_START,
treatment_start,CHEMOTHERAPY_START_DATE,
treatment_start,FIRST_LINE_MET_TX_START,
treatment_start,ADJUVANT_THERAPY_START,
treatment_start,NEOADJUVANT_START,
treatment_start,INDUCTION_THERAPY_START,
treatment_status,RECEIVED_TREATMENT,
treatment_status,HAD_CHEMOTHERAPY,
treatment_status,PRIOR_THERAPY,
treatment_status,HISTORY_OF_THERAPY,
treatment_status,THERAPY_PRIOR_TO_DERIVATION,
treatment_status,UNDERWENT_ADJUVANT_THERAPY,
treatment_status,EXPOSED_TO_TREATMENT,
treatment_type,FIRST_LINE_TREATMENT_TYPE,
treatment_type,ADJUVANT_TREATMENT_TYPE,
treatment_type,NEOADJUVANT_TREATMENT_TYPE,
treatment_type,MAINTENANCE_THERAPY_TYPE,
treatment_type,SALVAGE_TREATMENT_TYPE,
tumor_staging_ajcc,AJCC_VERSION,
tumor_staging_tnm,TNM_T_STAGE,
tumor_staging_tnm,TNM_N_STAGE,
tumor_staging_tnm,TNM_M_STAGE,
vital_status,PATIENT_VITAL_STATUS,
vital_status,VITAL_STATUS_AT_LAST_CONTACT,
vital_status,DECEASED,
age_at_death,PRD_AGE_AT_DEATH_YEARS,yes
age_at_death,CRDB_AGE-AT-DEATH,yes
age_at_death,TCGA_AGE_AT_DEATH_IN_DAYS,yes
age_at_death,CLIN_DEATH_AGE_YRS,yes
age_at_diagnosis,MSK_AGE_AT_DIAGNOSIS,yes
age_at_diagnosis,NGS_PATIENT.AGE_DIAGNOSIS,yes
age_at_diagnosis,CURATED_AGE_AT_DIAGNOSIS_YEARS,yes
age_at_diagnosis,PRD_AGE_DIAGNOSIS_IN_YEARS,yes
age_at_diagnosis,GDC_AGE_AT_DIAGNOSIS_DAYS,yes
age_at_metastasis,CRDB_AGE_METASTASIS_YRS,yes
age_at_metastasis,TCGA_AGE-AT-METASTASIS,yes
age_at_metastasis,DERIVED_AGE_AT_METASTASIS_YEARS,yes
age_at_metastasis,CLIN_METASTASIS_AGE_IN_DAYS,yes
age_at_procurement,PATH_AGE_PROCUREMENT_YRS,yes
age_at_procurement,GDC_SPECIMEN.AGE_AT_PROCUREMENT,yes
age_at_procurement,CURATED_AGE_AT_PROCUREMENT_YEARS,yes
age_at_procurement,NGS_SAMPLE_PROCUREMENT_AGE_DAYS,yes
age_group,PRD_AGE_GROUP,
age_group,CRDB_AGE_CATEGORY,
age_group,TCGA_AGE_RANGE,
age_group,INFERRED_AGE_GROUP_CATEGORY,
ancestry,MSK_ANCESTRY,
ancestry,TCGA_REPORTED_ANCESTRY,
ancestry,GDC_ANCESTRY_CATEGORY,
ancestry,SELF_REPORTED_ANCESTRY,
ancestry_details,CRDB_ANCESTRY_DETAILS,
ancestry_details,PRD_ANCESTRY_DETAIL_TEXT,
ancestry_details,CURATED_ANCESTRY_DETAILS_CONDENSED,
ancestry_details,NGS_PATIENT.ANCESTRY_DETAIL,
body_site,PATH_BODY_SITE_PATIENT,
body_site,TCGA_PRIMARY_SITE,
body_site,CLIN_BODY_SITE_SAMPLE,
body_site,GDC_ANATOMIC_SITE,
cancer_type,MSK_CANCER_TYPE,
cancer_type,TCGA_CANCER-TYPE-CURATED,
cancer_type,CRDB_CANCER.TYPE,
cancer_type,ICD_O_CANCER_TYPE_CODE,
cancer_type_detailed,GDC_CANCER_TYPE_DETAILED,
cancer_type_detailed,PRD_CANCER_TYPE_DETAILED_TEXT,
cancer_type_detailed,TCGA_DISEASE_TYPE,
cancer_type_detailed,CURATED_CANCER_TYPE_DETAILED_HARMONIZED,
country,CRDB_COUNTRY_CODE,
country,PRD_COUNTRY_OF_ORIGIN,
country,TCGA_COUNTRY,
country,SELF_REPORTED_COUNTRY,
curation_id,CURATED_CURATION_ID,
curation_id,GDC_CURATION_IDENTIFIER,
curation_id,CRDB_CURATION_ID_KEY,
disease_metastasic_site,PATH_METASTATIC_SITE_PATIENT,
disease_metastasic_site,TCGA_METASTATIC_SITE,
disease_metastasic_site,CLIN_DISEASE_METASTATIC_SITE_SAMPLE,
disease_metastasic_site,GDC_METASTASIS_ANATOMIC_SITE,
disease_metastasis,MSK_METASTASIS_YN,
disease_metastasis,CRDB_METASTASIS_STATUS,
disease_metastasis,TCGA_METASTASIS_FLAG,
disease_metastasis,DERIVED_METASTASIS_INDICATOR,
disease_type,GDC_DISEASE_TYPE,
disease_type,CLIN_DISEASE-TYPE,
disease_type,PRD_DISEASE_TYPE_TEXT,
disease_type,TCGA_DISEASE_TYPE_CATEGORY,
histological_subtype,PATH_HISTOLOGICAL_SUBTYPE,
histological_subtype,TCGA_HISTOLOGY_CODE,
histological_subtype,GDC_HISTOLOGICAL_SUBTYPE_CURATED,
histological_subtype,ICD_O_HISTOLOGY_SUBTYPE,
location,CRDB_LOCATION_CODE,
location,MSK_SPECIMEN_LOCATION,
location,GDC_SPECIMEN.LOCATION,
location,CLIN_ANATOMIC_LOCATION_SAMPLE,
molecular_subtype,NGS_MOLECULAR_SUBTYPE,
molecular_subtype,TCGA_MOLECULAR_SUBTYPE_CURATED,
molecular_subtype,DERIVED_MOLECULAR_CLASSIFICATION,
molecular_subtype,GDC_MOLECULAR_SUBTYPE_INFERRED,
oncotree_code,TCGA_ONCOTREE_CODE,
oncotree_code,GDC_ONCOTREE_CLASSIFICATION,
oncotree_code,CURATED_ONCOTREE_CODE_HARMONIZED,
patientId,MSK_PATIENT_ID,
patientId,TCGA_PATIENT,
patientId,CRDB_PATIENT_KEY,
patientId,GDC_CASE_ID,
sample_count,CRDB_SAMPLE_COUNT,yes
sample_count,GDC_SPECIMEN_COUNT,yes
sample_count,DERIVED_TOTAL_SAMPLES,yes
sample_type,PATH_SAMPLE_TYPE_PATIENT,
sample_type,TCGA_SAMPLE_TYPE,
sample_type,GDC_SAMPLE_TYPE_CURATED,
sample_type,NGS_SAMPLE_CATEGORY,
sampleId,MSK_SAMPLE_ID,
sampleId,TCGA_SAMPLE,
sampleId,GDC_SPECIMEN_ID,
sampleId,CRDB_SAMPLE_KEY,
sex,PRD_SEX,
sex,TCGA_GENDER,
sex,SELF_REPORTED_SEX,
sex,CLIN_PATIENT_SEX,
smoker,PRD_SMOKER_YN,
smoker,CRDB_SMOKING_STATUS_INDICATOR,
smoker,SELF_REPORTED_SMOKER_FLAG,
smoker,DERIVED_SMOKER_STATUS,
specimen_type,PATH_SPECIMEN_TYPE_SAMPLE,
specimen_type,GDC_SPECIMEN_TYPE,
specimen_type,TCGA_SPECIMEN_TYPE_CURATED,
specimen_type,NGS_SPECIMEN_CATEGORY,
study_design,CRDB_STUDY_DESIGN_CODE,
study_design,TCGA_STUDY_DESIGN,
study_design,GDC_STUDY_DESIGN_TEXT,
study_design,PRD_STUDY_DESIGN_DESCRIPTION,
studyId,TCGA_STUDY_ID,
studyId,GDC_PROJECT_ID,
studyId,CRDB_STUDY_KEY,
studyId,MSK_STUDY_IDENTIFIER,
target_condition,CLIN_TARGET_CONDITION,
target_condition,PRD_TARGET_CONDITION_TEXT,
target_condition,CRDB_TARGET_DIAGNOSIS,
target_condition,ICD_TARGET_CONDITION_CODE,
treatment_dose,CRDB_TREATMENT_DOSE_MG,yes
treatment_dose,MSK_DOSE_MG_DAY,yes
treatment_dose,NGS_DRUG_DOSE_VALUE,yes
treatment_dose,DERIVED_TREATMENT_DOSE_STANDARDIZED,yes
treatment_duration,CRDB_TREATMENT_DURATION_DAYS,yes
treatment_duration,PRD_TREATMENT_DURATION_IN_WEEKS,yes
treatment_duration,TCGA_TREATMENT-DURATION-MONTHS,yes
treatment_duration,CALC_TREATMENT_DURATION_CALCULATED,yes
treatment_end,CRDB_TREATMENT_END_DATE,
treatment_end,PATH_TREATMENT_END_DT,
treatment_end,PRD_TREATMENT_END_DATE_TEXT,
treatment_end,CLIN_TREATMENT.END_DATE,
treatment_frequency,CRDB_TREATMENT_FREQUENCY_CODE,
treatment_frequency,MSK_DOSE_FREQUENCY,
treatment_frequency,PRD_TREATMENT_FREQUENCY_TEXT,
